Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
"9,350,000 SAR",Whole Building,3,7+,550 sqm,"An Naim, Jeddah, Makkah Al Mukarramah"
"870,000 SAR",Apartment,5,3,170 sqm,"An Naim, Jeddah, Makkah Al Mukarramah"
"750,000 SAR",Apartment,4,3,120 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"560,000 SAR",Apartment,5,4,147 sqm,"Ar Rabwah, Jeddah, Makkah Al Mukarramah"
"620,000 SAR",Apartment,5,3,145 sqm,"Al Wahah, Jeddah, Makkah Al Mukarramah"
"900,000 SAR",Apartment,4,3,158 sqm,"An Naim, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"540,000 SAR",Apartment,4,3,131 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"750,000 SAR",Apartment,4,4,167 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"670,000 SAR",Apartment,5,3,162 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"520,000 SAR",Apartment,4,3,152 sqm,"Al Awaly, Makah Almukaramuh, Makkah Al Mukarramah"
"680,000 SAR",Apartment,5,3,161 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"680,000 SAR",Apartment,5,3,161 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"1,600,000 SAR",Whole Building,7+,7+,310 sqm,"Taibah, Jeddah, Makkah Al Mukarramah"
"1,250,000 SAR",Apartment,5,4,206 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"1,600,000 SAR",Apartment,5,4,230 sqm,"Az Zahra, Jeddah, Makkah Al Mukarramah"
"670,000 SAR",Apartment,5,3,162 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"670,000 SAR",Apartment,5,3,162 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"540,000 SAR",Apartment,4,3,131 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"540,000 SAR",Apartment,4,3,131 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"540,000 SAR",Apartment,4,3,131 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"540,000 SAR",Apartment,4,3,131 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"670,000 SAR",Apartment,5,3,162 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"540,000 SAR",Apartment,4,3,131 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"730,000 SAR",Apartment,4,3,112 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"750,000 SAR",Apartment,4,3,167 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"1,250,000 SAR",Villa,5,4,188 sqm,"Al Qadisiyah, Riyadh, Ar Riyadh"
"1,200,000 SAR",Apartment,5,4,185 sqm,"Az Zahra, Jeddah, Makkah Al Mukarramah"
"990,000 SAR",Apartment,5,3,175 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"1,150,000 SAR",Apartment,5,4,211 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"1,700,000 SAR",Villa,4,5,225 sqm,"Ar Rimal, Riyadh, Ar Riyadh"
"950,000 SAR",Apartment,5,3,163 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"1,050,000 SAR",Apartment,5,3,179 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"1,200,000 SAR",Apartment,5,4,224 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"790,000 SAR",Apartment,5,4,170 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
